phase mean FPC1 FPC2 FPC3 FPC4
-10 0.995883 0.072508 0.108872 0.521025 -0.181854
-9.9 0.973272 0.072314 0.10801 0.517852 -0.178814
-9.8 0.950662 0.072121 0.107148 0.514679 -0.175775
-9.7 0.928051 0.071928 0.106286 0.511507 -0.172736
-9.6 0.905441 0.071672 0.105409 0.507933 -0.169629
-9.5 0.88283 0.071416 0.104532 0.504354 -0.166521
-9.4 0.86022 0.071159 0.103655 0.500775 -0.163414
-9.3 0.839334 0.070841 0.102764 0.496801 -0.160239
-9.2 0.818561 0.070521 0.101872 0.492815 -0.157063
-9.1 0.797787 0.070201 0.100981 0.488829 -0.153887
-9 0.777013 0.06982 0.100075 0.484455 -0.150646
-8.9 0.756239 0.069437 0.099169 0.480062 -0.147401
-8.8 0.735466 0.069054 0.098262 0.475669 -0.144156
-8.7 0.716306 0.068611 0.097342 0.470895 -0.140847
-8.6 0.697369 0.068164 0.096421 0.466096 -0.137534
-8.5 0.678432 0.067718 0.0955 0.461296 -0.134221
-8.4 0.659495 0.067212 0.094565 0.456121 -0.130845
-8.3 0.640559 0.066702 0.09363 0.450916 -0.127463
-8.2 0.621622 0.066192 0.092694 0.44571 -0.124081
-8.1 0.604188 0.065625 0.091745 0.440134 -0.120638
-8 0.587088 0.065051 0.090794 0.434522 -0.117188
-7.9 0.569987 0.064478 0.089844 0.428909 -0.113738
-7.8 0.552887 0.063848 0.08888 0.422933 -0.110226
-7.7 0.535787 0.063211 0.087915 0.416914 -0.106708
-7.6 0.518687 0.062575 0.08695 0.410895 -0.103189
-7.5 0.502979 0.061882 0.085972 0.404519 -0.099611
-7.4 0.487715 0.061182 0.084992 0.398093 -0.096024
-7.3 0.472452 0.060482 0.084012 0.391668 -0.092437
-7.2 0.457189 0.059727 0.083019 0.38489 -0.088791
-7.1 0.441926 0.058964 0.082025 0.378058 -0.085135
-7 0.426663 0.058201 0.08103 0.371226 -0.08148
-6.9 0.41268 0.057383 0.080023 0.364049 -0.077767
-6.8 0.399253 0.056557 0.079014 0.35681 -0.074043
-6.7 0.385827 0.05573 0.078004 0.349571 -0.070319
-6.6 0.3724 0.05485 0.076983 0.341993 -0.066538
-6.5 0.358974 0.05396 0.075959 0.334348 -0.062746
-6.4 0.345547 0.05307 0.074935 0.326702 -0.058953
-6.3 0.333266 0.052128 0.073899 0.318724 -0.055105
-6.2 0.32164 0.051175 0.07286 0.310672 -0.051244
-6.1 0.310013 0.050221 0.071821 0.30262 -0.047384
