phase mean FPC1 FPC2 FPC3 FPC4
-10 0.81887 0.023446 0.206065 0.435548 -0.288425
-9.9 0.803963 0.023503 0.204942 0.43331 -0.287662
-9.8 0.789056 0.02356 0.203818 0.431072 -0.286899
-9.7 0.774149 0.023617 0.202695 0.428835 -0.286136
-9.6 0.759242 0.023634 0.201368 0.426151 -0.284966
-9.5 0.744334 0.02365 0.200037 0.423461 -0.283791
-9.4 0.729427 0.023667 0.198706 0.420771 -0.282615
-9.3 0.715047 0.023643 0.197174 0.417643 -0.28104
-9.2 0.7007 0.023619 0.195636 0.414501 -0.279452
-9.1 0.686353 0.023595 0.194097 0.411358 -0.277864
-9 0.672007 0.023531 0.19236 0.407784 -0.275881
-8.9 0.65766 0.023466 0.190614 0.40419 -0.273881
-8.8 0.643314 0.023401 0.188868 0.400595 -0.27188
-8.7 0.62946 0.023298 0.186927 0.396576 -0.269492
-8.6 0.615674 0.023192 0.184973 0.392529 -0.267078
-8.5 0.601887 0.023086 0.183019 0.388482 -0.264665
-8.4 0.588101 0.022943 0.180873 0.384018 -0.26187
-8.3 0.574315 0.022796 0.178711 0.379519 -0.259044
-8.2 0.560529 0.02265 0.17655 0.37502 -0.256219
-8.1 0.547202 0.022466 0.174199 0.370109 -0.253017
-8 0.533976 0.022279 0.17183 0.365158 -0.249779
-7.9 0.520751 0.022092 0.169461 0.360207 -0.246541
-7.8 0.507525 0.021868 0.166906 0.354851 -0.242933
-7.7 0.494299 0.02164 0.164329 0.349448 -0.239282
-7.6 0.481074 0.021412 0.161752 0.344045 -0.235631
-7.5 0.468273 0.021149 0.158992 0.338243 -0.231617
-7.4 0.455608 0.02088 0.156208 0.332388 -0.227553
-7.3 0.442943 0.020612 0.153423 0.326532 -0.22349
-7.2 0.430278 0.020308 0.150459 0.320286 -0.219069
-7.1 0.417613 0.019999 0.147467 0.313978 -0.214593
-7 0.404948 0.019689 0.144474 0.30767 -0.210117
-6.9 0.392673 0.019346 0.141305 0.300978 -0.20529
-6.8 0.380569 0.018996 0.138105 0.294218 -0.200402
-6.7 0.368464 0.018646 0.134905 0.287458 -0.195513
-6.6 0.356359 0.018262 0.131532 0.28032 -0.19028
-6.5 0.344255 0.017871 0.128124 0.273108 -0.184978
-6.4 0.33215 0.017481 0.124717 0.265895 -0.179677
-6.3 0.320448 0.017057 0.121139 0.258313 -0.174038
-6.2 0.308975 0.016625 0.117523 0.250648 -0.168324
-6.1 0.297502 0.016194 0.113908 0.242983 -0.16261
-6 0.286029 0.015745 0.110219 0.235152 -0.156738
-5.9 0.274556 0.015291 0.106513 0.227279 -0.150827
-5.8 0.263083 0.014837 0.102806 0.219407 -0.144917
-5.7 0.252347 0.014402 0.09926 0.211857 -0.139282
-5.6 0.242152 0.013972 0.095756 0.204393 -0.13372
-5.5 0.231958 0.013541 0.092252 0.196929 -0.128158
-5.4 0.221764 0.013131 0.088919 0.189808 -0.122891
-5.3 0.21157 0.012727 0.085635 0.182788 -0.117709
-5.2 0.201375 0.012323 0.082351 0.175768 -0.112527
-5.1 0.191922 0.011939 0.079233 0.169084 -0.107634
-5 0.183165 0.011561 0.076169 0.162508 -0.102832
-4.9 0.174408 0.011183 0.073104 0.155931 -0.09803
-4.8 0.165651 0.010825 0.070204 0.149685 -0.09351
-4.7 0.156895 0.010473 0.067359 0.143552 -0.089088
-4.6 0.148138 0.010122 0.064514 0.137419 -0.084666
-4.5 0.140035 0.009789 0.061829 0.131609 -0.080521
-4.4 0.132715 0.009463 0.059204 0.12592 -0.076479
-4.3 0.125396 0.009138 0.056579 0.120231 -0.072437
-4.2 0.118077 0.008831 0.054111 0.114858 -0.068666
-4.1 0.110758 0.008532 0.051706 0.109612 -0.065003
-4 0.103439 0.008232 0.0493 0.104367 -0.061341
-3.9 0.096686 0.007951 0.047048 0.099431 -0.057944
-3.8 0.090804 0.007678 0.044863 0.094629 -0.054662
-3.7 0.084922 0.007405 0.042677 0.089827 -0.051379
-3.6 0.079041 0.00715 0.040641 0.085329 -0.048356
-3.5 0.073159 0.006903 0.038675 0.08097 -0.045454
-3.4 0.067277 0.006656 0.036709 0.076612 -0.042551
-3.3 0.061875 0.006426 0.03489 0.07255 -0.039902
-3.2 0.057433 0.006206 0.033144 0.068636 -0.03738
-3.1 0.05299 0.005985 0.031397 0.064721 -0.034857
-3 0.048547 0.005781 0.029794 0.061097 -0.032583
-2.9 0.044104 0.005586 0.028267 0.057626 -0.03044
-2.8 0.039661 0.005392 0.026741 0.054155 -0.028297
-2.7 0.03561 0.005214 0.025354 0.050967 -0.026397
-2.6 0.032605 0.005045 0.024047 0.04794 -0.024634
-2.5 0.0296 0.004877 0.02274 0.044913 -0.022871
-2.4 0.026594 0.004725 0.02157 0.042162 -0.021344
-2.3 0.023589 0.004583 0.020482 0.039579 -0.019961
-2.2 0.020584 0.00444 0.019395 0.036995 -0.018578
-2.1 0.017831 0.004312 0.018431 0.034666 -0.017401
-2 0.016018 0.004194 0.017547 0.0325 -0.016355
-1.9 0.014204 0.004075 0.016662 0.030335 -0.01531
-1.8 0.012391 0.00396 0.015835 0.028319 -0.014302
-1.7 0.010577 0.003847 0.015046 0.026406 -0.013319
-1.6 0.008764 0.003734 0.014257 0.024492 -0.012337
-1.5 0.007055 0.003623 0.013511 0.022705 -0.01136
-1.4 0.005929 0.003512 0.012796 0.021011 -0.010386
-1.3 0.004803 0.003402 0.012081 0.019316 -0.009412
-1.2 0.003678 0.003293 0.011408 0.017745 -0.008443
-1.1 0.002552 0.003186 0.010767 0.01627 -0.007478
-1 0.001427 0.003078 0.010126 0.014794 -0.006513
-0.9 0.000362 0.002972 0.009526 0.013438 -0.005552
-0.8 -9.1e-05 0.002867 0.008959 0.012182 -0.004596
-0.7 -0.000545 0.002762 0.008393 0.010925 -0.003639
