PIDX,ObjName,RPhase,MJD_OBS,MAG,eMAG,Passband,Instrument,Contributing_Group,Reference,Filename,Comments
4236,SN2002bo,-14.299370668366707,52342.34,17.319,0.078,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4237,SN2002bo,-11.321994742288043,52345.33,15.648,0.012,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4238,SN2002bo,-10.34613239862923,52346.31,15.261,0.013,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4239,SN2002bo,-8.344618816216622,52348.32,14.736,0.019,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4240,SN2002bo,-4.3814227674601485,52352.3,14.179,0.01,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4241,SN2002bo,-3.5150959929885643,52353.17,14.118,0.011,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4242,SN2002bo,-2.3998247430855337,52354.29,14.041,0.012,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4243,SN2002bo,1.5434557476329467,52358.25,14.024,0.011,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4244,SN2002bo,4.60049390584185,52361.32,14.162,0.013,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4245,SN2002bo,5.695849597706887,52362.42,14.281,0.014,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4246,SN2002bo,6.4924719190672295,52363.22,14.302,0.011,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4247,SN2002bo,7.498207599783032,52364.23,14.399,0.01,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4248,SN2002bo,8.48402772246084,52365.22,14.483,0.012,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
4249,SN2002bo,9.489763403176642,52366.23,14.564,0.01,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G,/BSNIP/LOSS_2013_Natural.txt,none
