phase mean FPC1 FPC2 FPC3 FPC4
-10 0.628215 0.07593 -0.51602 -0.254251 0.074412
-9.9 0.61286 0.075863 -0.511925 -0.254058 0.073816
-9.8 0.597506 0.075797 -0.50783 -0.253865 0.073219
-9.7 0.582151 0.075731 -0.503735 -0.253672 0.072623
-9.6 0.566796 0.075553 -0.499128 -0.25308 0.071925
-9.5 0.551441 0.075374 -0.494514 -0.252483 0.071225
-9.4 0.536087 0.075195 -0.4899 -0.251885 0.070525
-9.3 0.522148 0.074906 -0.484782 -0.250895 0.069724
-9.2 0.5083 0.074614 -0.479648 -0.249894 0.06892
-9.1 0.494452 0.074322 -0.474515 -0.248892 0.068117
-9 0.480605 0.073922 -0.468886 -0.247504 0.067214
-8.9 0.466757 0.073517 -0.463233 -0.246097 0.066306
-8.8 0.452909 0.073111 -0.45758 -0.244691 0.065398
-8.7 0.440386 0.0726 -0.45144 -0.242905 0.064393
-8.6 0.428045 0.072082 -0.445268 -0.241094 0.063381
-8.5 0.415705 0.071564 -0.439096 -0.239284 0.062369
-8.4 0.403364 0.070942 -0.432444 -0.237099 0.061261
-8.3 0.391024 0.070311 -0.425753 -0.234884 0.060146
-8.2 0.378683 0.06968 -0.419062 -0.232669 0.05903
-8.1 0.367575 0.068947 -0.411898 -0.230086 0.05782
-8 0.356742 0.068203 -0.404688 -0.227467 0.056601
-7.9 0.345908 0.067459 -0.397477 -0.224847 0.055381
-7.8 0.335075 0.066615 -0.389803 -0.221866 0.054069
-7.7 0.324241 0.065758 -0.382073 -0.218842 0.052745
-7.6 0.313408 0.064901 -0.374343 -0.215818 0.051422
-7.5 0.303716 0.063945 -0.366157 -0.212439 0.050007
-7.4 0.294389 0.062976 -0.357908 -0.209011 0.04858
-7.3 0.285063 0.062006 -0.34966 -0.205582 0.047153
-7.2 0.275736 0.060939 -0.340962 -0.201805 0.045636
-7.1 0.26641 0.059857 -0.332194 -0.197972 0.044104
-7 0.257083 0.058774 -0.323426 -0.194139 0.042573
-6.9 0.248807 0.057596 -0.314217 -0.189963 0.040954
-6.8 0.240988 0.056401 -0.30493 -0.185726 0.039319
-6.7 0.233168 0.055205 -0.295642 -0.181489 0.037684
-6.6 0.225349 0.053916 -0.285922 -0.176915 0.035962
-6.5 0.217529 0.052607 -0.276116 -0.172273 0.034223
-6.4 0.20971 0.051299 -0.266309 -0.167632 0.032484
-6.3 0.202806 0.049898 -0.256077 -0.162659 0.03066
-6.2 0.196426 0.048477 -0.245752 -0.157613 0.028817
-6.1 0.190046 0.047056 -0.235426 -0.152568 0.026974
-6 0.183666 0.045585 -0.224979 -0.147356 0.025118
-5.9 0.177285 0.044102 -0.214501 -0.142105 0.023259
-5.8 0.170905 0.042619 -0.204024 -0.136853 0.0214
-5.7 0.164998 0.041188 -0.194159 -0.131834 0.019703
-5.6 0.15944 0.039772 -0.184458 -0.126877 0.018049
-5.5 0.153882 0.038355 -0.174757 -0.12192 0.016396
-5.4 0.148324 0.036995 -0.165697 -0.117213 0.014911
-5.3 0.142766 0.035652 -0.156825 -0.11258 0.013475
-5.2 0.137208 0.034309 -0.147952 -0.107946 0.012039
-5.1 0.131996 0.033022 -0.139709 -0.103558 0.010768
-5 0.127108 0.031753 -0.131665 -0.099247 0.009551
-4.9 0.122221 0.030484 -0.123622 -0.094937 0.008333
-4.8 0.117334 0.029269 -0.116194 -0.090867 0.007277
-4.7 0.112446 0.028074 -0.10898 -0.08688 0.006277
-4.6 0.107559 0.026878 -0.101765 -0.082893 0.005277
-4.5 0.102976 0.025736 -0.095154 -0.079141 0.004436
-4.4 0.09876 0.024614 -0.088768 -0.075478 0.003654
-4.3 0.094543 0.023493 -0.082383 -0.071814 0.002872
-4.2 0.090326 0.022423 -0.076588 -0.068381 0.002245
-4.1 0.08611 0.021375 -0.071031 -0.06504 0.001681
-4 0.081893 0.020327 -0.065474 -0.0617 0.001117
-3.9 0.07794 0.019331 -0.060496 -0.058585 0.000705
-3.8 0.074394 0.018356 -0.055768 -0.055568 0.000359
