phase mean FPC1 FPC2 FPC3 FPC4
-10 0.634505 0.067572 0.202613 -0.492033 -0.094746
-9.9 0.620956 0.067645 0.204436 -0.490359 -0.090832
-9.8 0.607407 0.067719 0.206259 -0.488686 -0.086918
-9.7 0.593858 0.067792 0.208082 -0.487012 -0.083004
-9.6 0.580309 0.067767 0.209454 -0.484707 -0.079249
-9.5 0.56676 0.067741 0.210818 -0.482392 -0.075497
-9.4 0.553211 0.067715 0.212183 -0.480077 -0.071744
-9.3 0.540578 0.067593 0.213104 -0.47714 -0.068148
-9.2 0.528004 0.067468 0.21401 -0.474183 -0.064557
-9.1 0.51543 0.067343 0.214917 -0.471227 -0.060966
-9 0.502856 0.067123 0.215386 -0.467658 -0.057528
-8.9 0.490282 0.066898 0.215835 -0.46406 -0.054098
-8.8 0.477708 0.066674 0.216283 -0.460462 -0.050668
-8.7 0.46599 0.066356 0.216301 -0.456261 -0.04739
-8.6 0.454391 0.066032 0.216292 -0.452022 -0.044121
-8.5 0.442792 0.065708 0.216282 -0.447782 -0.040853
-8.4 0.431192 0.065293 0.215849 -0.44295 -0.037733
-8.3 0.419593 0.06487 0.215381 -0.438069 -0.034626
-8.2 0.407994 0.064447 0.214913 -0.433188 -0.031519
-8.1 0.397192 0.063934 0.214029 -0.427724 -0.028558
-8 0.386568 0.063411 0.213103 -0.422201 -0.025612
-7.9 0.375943 0.062889 0.212177 -0.416679 -0.022666
-7.8 0.365319 0.062278 0.210842 -0.410583 -0.019864
-7.7 0.354695 0.061656 0.209458 -0.404419 -0.017079
-7.6 0.34407 0.061035 0.208074 -0.398255 -0.014295
-7.5 0.334184 0.060326 0.206287 -0.391527 -0.011652
-7.4 0.324535 0.059605 0.204445 -0.384722 -0.009028
-7.3 0.314885 0.058884 0.202603 -0.377917 -0.006405
-7.2 0.305236 0.058078 0.200365 -0.370557 -0.003921
-7.1 0.295586 0.057257 0.198065 -0.36311 -0.001459
-7 0.285936 0.056437 0.195765 -0.355664 0.001003
-6.9 0.276966 0.055533 0.193075 -0.347672 0.003328
-6.8 0.268292 0.054614 0.190317 -0.339584 0.005629
-6.7 0.259617 0.053694 0.187559 -0.331496 0.00793
-6.6 0.250942 0.052692 0.184418 -0.322872 0.010096
-6.5 0.242267 0.051673 0.181202 -0.314143 0.012236
-6.4 0.233593 0.050655 0.177986 -0.305413 0.014375
