phase mean FPC1 FPC2 FPC3 FPC4
-10 0.704279 -0.032577 -0.202762 -0.601798 -0.142402
-9.9 0.69619 -0.032139 -0.201744 -0.593728 -0.141312
-9.8 0.6881 -0.0317 -0.200726 -0.585659 -0.140222
-9.7 0.68001 -0.03126 -0.199619 -0.577511 -0.139011
-9.6 0.67192 -0.030819 -0.198418 -0.56928 -0.137673
-9.5 0.66383 -0.030378 -0.197218 -0.561049 -0.136335
-9.4 0.655137 -0.029934 -0.19584 -0.552661 -0.134754
-9.3 0.646412 -0.029489 -0.194458 -0.544269 -0.133168
-9.2 0.637688 -0.029044 -0.192991 -0.535803 -0.131467
-9.1 0.628963 -0.028597 -0.191427 -0.527249 -0.129633
-9 0.620239 -0.02815 -0.189863 -0.518696 -0.127799
-8.9 0.610943 -0.0277 -0.188125 -0.509989 -0.125729
-8.8 0.601584 -0.02725 -0.186379 -0.501275 -0.123647
-8.7 0.592225 -0.026799 -0.184553 -0.49249 -0.121456
-8.6 0.582865 -0.026346 -0.182625 -0.483614 -0.119125
-8.5 0.573506 -0.025893 -0.180696 -0.474737 -0.116795
-8.4 0.563608 -0.025437 -0.178599 -0.465712 -0.114235
-8.3 0.553614 -0.024982 -0.176489 -0.456675 -0.111657
-8.2 0.54362 -0.024525 -0.174304 -0.447571 -0.108976
-8.1 0.533626 -0.024066 -0.172011 -0.438372 -0.10615
-8 0.523632 -0.023608 -0.169718 -0.429174 -0.103323
-7.9 0.513132 -0.023146 -0.167262 -0.41983 -0.100274
-7.8 0.502503 -0.022685 -0.164788 -0.41047 -0.097199
-7.7 0.491874 -0.022222 -0.162243 -0.401048 -0.094029
-7.6 0.481246 -0.021758 -0.159586 -0.391526 -0.090706
-7.5 0.470617 -0.021294 -0.15693 -0.382005 -0.087384
-7.4 0.459514 -0.020827 -0.154114 -0.372342 -0.083844
-7.3 0.448251 -0.020359 -0.151275 -0.36266 -0.080274
-7.2 0.436987 -0.019891 -0.148371 -0.352919 -0.076613
-7.1 0.425724 -0.019421 -0.14535 -0.343075 -0.072795
-7 0.41446 -0.018951 -0.142329 -0.333231 -0.068976
-6.9 0.402755 -0.018478 -0.139154 -0.32325 -0.064947
-6.8 0.390857 -0.018005 -0.135952 -0.313244 -0.06088
-6.7 0.378959 -0.017531 -0.132688 -0.303185 -0.05673
-6.6 0.367061 -0.017056 -0.129303 -0.293018 -0.052415
-6.5 0.355163 -0.01658 -0.125918 -0.282851 -0.0481
-6.4 0.343367 -0.016106 -0.122458 -0.27272 -0.043745
-6.3 0.331628 -0.015634 -0.118982 -0.262596 -0.039381
-6.2 0.319889 -0.015166 -0.115537 -0.25262 -0.035132
-6.1 0.308151 -0.014709 -0.112161 -0.242971 -0.031137
-6 0.296412 -0.014252 -0.108785 -0.233321 -0.027142
-5.9 0.285385 -0.013808 -0.105495 -0.224064 -0.023457
-5.8 0.274842 -0.013368 -0.102226 -0.214906 -0.019849
-5.7 0.264298 -0.012932 -0.098989 -0.205889 -0.016352
-5.6 0.253754 -0.012507 -0.095828 -0.197222 -0.013131
-5.5 0.243211 -0.012083 -0.092668 -0.188556 -0.009909
-5.4 0.233323 -0.011672 -0.08959 -0.180269 -0.006988
-5.3 0.223982 -0.011264 -0.086538 -0.172095 -0.004153
-5.2 0.214641 -0.01086 -0.083513 -0.164048 -0.00142
-5.1 0.205299 -0.010468 -0.080568 -0.156365 0.001028
-5 0.195958 -0.010077 -0.077623 -0.148681 0.003476
-4.9 0.187212 -0.009698 -0.074758 -0.141366 0.005634
-4.8 0.179073 -0.009322 -0.071921 -0.134175 0.007695
-4.7 0.170933 -0.008951 -0.069109 -0.127099 0.009665
-4.6 0.162794 -0.008592 -0.06638 -0.120399 0.011339
-4.5 0.154655 -0.008233 -0.06365 -0.113699 0.013013
-4.4 0.147051 -0.007886 -0.060999 -0.107354 0.014408
-4.3 0.140115 -0.007544 -0.058377 -0.101146 0.015695
-4.2 0.133179 -0.007205 -0.055778 -0.095041 0.016901
-4.1 0.126243 -0.006878 -0.053264 -0.089324 0.017802
-4 0.119308 -0.006552 -0.05075 -0.083607 0.018703
-3.9 0.112845 -0.006237 -0.048311 -0.078234 0.019334
-3.8 0.107112 -0.005928 -0.045905 -0.073008 0.019848
-3.7 0.101378 -0.005621 -0.043519 -0.067875 0.02029
-3.6 0.095644 -0.005327 -0.04122 -0.063141 0.020418
-3.5 0.089911 -0.005034 -0.038922 -0.058407 0.020545
-3.4 0.08459 -0.004751 -0.036696 -0.054005 0.020412
-3.3 0.080059 -0.004474 -0.034505 -0.049762 0.020153
-3.2 0.075527 -0.004199 -0.032332 -0.045599 0.019831
-3.1 0.070996 -0.003939 -0.030249 -0.041849 0.019185
-3 0.066464 -0.003678 -0.028166 -0.038098 0.018539
-2.9 0.062225 -0.003428 -0.02616 -0.034646 0.017692
-2.8 0.05869 -0.003184 -0.024196 -0.031356 0.016736
-2.7 0.055155 -0.002944 -0.022255 -0.02811 0.015782
-2.6 0.05162 -0.002721 -0.020459 -0.025143 0.014849
-2.5 0.048085 -0.002498 -0.018663 -0.022175 0.013916
-2.4 0.044707 -0.002289 -0.016975 -0.019398 0.013024
-2.3 0.041822 -0.002088 -0.015354 -0.016736 0.012157
-2.2 0.038937 -0.001889 -0.013751 -0.014108 0.011298
-2.1 0.036052 -0.001709 -0.012304 -0.011751 0.010499
-2 0.033167 -0.00153 -0.010857 -0.009394 0.0097
-1.9 0.030406 -0.001363 -0.009514 -0.007219 0.00894
-1.8 0.028165 -0.001205 -0.008241 -0.005167 0.008208
-1.7 0.025923 -0.001048 -0.006983 -0.003141 0.007481
-1.6 0.023682 -0.000912 -0.005885 -0.001395 0.006815
-1.5 0.021441 -0.000775 -0.004786 0.000352 0.00615
-1.4 0.01929 -0.000651 -0.003788 0.001924 0.005523
-1.3 0.017693 -0.000535 -0.002863 0.003366 0.004924
-1.2 0.016095 -0.000422 -0.00195 0.00479 0.004329
-1.1 0.014498 -0.000328 -0.0012 0.005926 0.003798
-1 0.0129 -0.000234 -0.00045 0.007063 0.003266
-0.9 0.011361 -0.000152 0.000204 0.008033 0.002771
-0.8 0.010408 -8e-05 0.000779 0.008865 0.002306
-0.7 0.009454 -9e-06 0.001348 0.009686 0.001844
-0.6 0.0085 4.2e-05 0.001749 0.010212 0.001446
-0.5 0.007546 9.3e-05 0.00215 0.010739 0.001049
-0.4 0.006619 0.000132 0.00246 0.011106 0.000686
-0.3 0.006309 0.000162 0.002687 0.011328 0.000355
-0.2 0.005999 0.000191 0.002911 0.011546 2.5e-05
-0.1 0.005689 0.000198 0.002964 0.011463 -0.000239
0 0.005379 0.000206 0.003016 0.011379 -0.000503
0.1 0.005069 0.000203 0.002981 0.011144 -0.000733
